word,meaning,Tag1,Tag2,Tag3
dto(DTO),DataTransferObject／DTO（DataTransferObject）とは、関連するデータを一つにまとめ、異なるプログラム間やコンピュータ間でデータを受け渡すためのオブジェクトです。DTOは、データの受け渡しを整理し、コードをシンプルにする役割を持ち、フロントエンドとバックエンドなどアプリの異なる層の間でデータをやりとりする際に使用されます。,Java(J2SE),,
ビルド,ビルド（英：build）とはプログラムの元ネタ（ソースコード）をあれやこれやして実際のプログラムを作る作業のことです。,Java(J2SE),,
PrimeFaces(プライムフェイシズ),JSFとPrimeFacesとは何ですか？JavaserverFacesとしても知られるJSFは、Webアプリケーションを作成するためのJavaフレームワークです。Primephalyは、JSFと統合されているユーザーインターフェイスコンポーネントのライブラリであり、最新の魅力的な外観でWebアプリケーションの構築を促進します。JSFとPrimephalyは、Javaでスケーラブルで堅牢なWebアプリケーションを開発するための完全なソリューションを提供します。この記事では、JSFとPrimeFacesが何であるか、それらがどのように連携するか、そしてその主な利点と特性は何であるかを詳細に説明します。,Java(J2SE),,
decimal(デシマル),decimalは固定長整数型,Java(J2SE),,
infoファイル,「info」ファイルは、特定の情報を含むファイル形式で、以下のような用途があります32：TexinfoDocument:GNUProjectのTexinfoツールで作成されたフォーマットされた情報文書です。章やセクションを含むブック形式で保存されます。MinecraftForgeInformationFile:Minecraftの改造をインストールするためのツールで使用されるデータファイルです。JSONフォーマットのプレーンテキスト情報を含みます。GenericInformationFile:ソフトウェアやダウンロードに含まれる一般的なテキスト情報ファイルで、バージョン情報や著作権情報を文書化するために使用されます。これらのファイルは、特定のプログラムやテキストエディタで開くことができます。具体的な用途や開き方については、使用するソフトウェアに依存します。,Java(J2SE),,
正規表現,例えば「『あ』で始まるやつ！」や「『ほげ』という単語を含んでいて、さらに『い』で終わるやつ！」のように、文字列を指定する際に、あいまいな感じで指定できる表現方法のこと,Java(J2SE),,
.earファイル,JavaEEにおけるソフトウェアのパッケージの一つ。サーバへのアプリケーションの展開（デプロイ）などに用いられる。標準のファイル拡張子は「.ear」。,Java(J2SE),,
ブランチ（branch),枝、支流、支店、支線、分岐（する）、などの意味を持つ英単語。,Java(J2SE),,
トランク,他から分岐したのではない（親ブランチを持たない）オリジナルの系統のこと。,Java(J2SE),,
並行処理,並行処理は、複数のタスクが同時に一つのCPUコアで実行される（ように見える）ことを指します。,Java(J2SE),,
並列処理,並列処理は、複数のタスクが異なるCPUコアで同時に実行されることを指します。並行処理は論理的に同時に行われるが、順番は一定ではないという特徴があります,Java(J2SE),,
JDBC（読：ジェイディービーシー）,ODBC（データベースとやり取りするための通訳）のJava版。もう少し具体的に書くとJavaのプログラムとデータベースの間に入って仲立ちをしてくれる部品（に関する取り決め）<br>JDBCとは、Java DataBase Connectivity（ジャバ・データベース・コネクティビティ）の略であり、Javaプログラムがリレーショナルデータベース（RDB）にアクセスするための標準的なAPI（Application Programming Interface）です。JDBCは、Javaアプリケーションとデータベースの間に入り、「通訳」のような役割を果たします。,"Java(J2SE),API",,
キャスト（型変換）,キャスト（型変換）とは、変数の型変換を行うことを指します。Javaでは、アップキャストとダウンキャストという継承関係にあるクラスのオブジェクトをまとめて扱うことができます。,Java(J2SE),,
JVM,JVM（読：ジェイブイエム）とはJavaで作ったプログラムとコンピュータの通訳。もう少し具体的に書くとJavaの「一度書けば、どこでも動く」の思想を実現するための切り札で、Javaのプログラムを動かすためのソフトウェア,"Java(J2SE),ソフトウェア",,
ソート（sort）,ソート（sort）とは、複数のデータが並んだ列を、何らかの順序に基いて順番通りになるよう並べ替えること。数値を大きい順または小さい順に並べたり、文字をアルファベット順や五十音順に並べたり、日時を古い順または新しい順に並べ替えることが該当する。複数の同じ種類の要素が一列に並んでいる場合に、すべての要素に一律に適用可能な順序の規則を用いて並べ替える操作を意味する。,Java(J2SE),,
クラスの継承,あるオブジェクトの属性(メンバ変数)やその属性を使った処理(メンバメソッド)で共通するメンバ(メンバ変数とメンバメソッド)を集めたクラスがあるとします。このクラスに対して、共通するメンバはそのまま使用しつつも新たな属性や処理(メンバ)を加えることをクラスの継承といいます。,Java(J2SE),,
context,Javaにおける「コンテキスト(context)」は、プログラムの実行環境や状態を指します。具体的には、JavaのContextインターフェースは、ネーミングサービスやディレクトリサービスにアクセスするための環境を定義し、さまざまな設定やプロパティを伝達する方法を提供します。また、プログラム内での要素がその位置や内部状態によって異なる振る舞いをすることも「コンテキスト」と呼ばれます。さらに、Android開発においては、ContextWrapperクラスが重要な役割を果たし、アクティビティのライフサイクルに依存しています。,Java(J2SE),,
エクスクラメーションマーク(ビックリマーク),"エクスクラメーションマークは、プログラミング言語においては『否定』の意味で、よく登場する。例えば、／a=1;／b=2;／if(a!=){／print""hoge"";／}",Java(J2SE),,
ディストリビューション（Java Distribution）,Javaのディストリビューション（Java Distribution）とは、Java開発・実行環境であるJDK (Java Development Kit) や JRE (Java Runtime Environment) の特定のベンダー（提供元）によるパッケージやビルドのことです。<br>Javaはオープンソース化されて以降、Oracle社以外にも多くの企業やコミュニティが、独自のビルドやサポート体制を持つJDKを提供しています。これらの提供元が異なるJDKのパッケージが「Javaディストリビューション」と呼ばれます。Javaのディストリビューション（Java Distribution）とは、Java開発・実行環境であるJDK (Java Development Kit) や JRE (Java Runtime Environment) の特定のベンダー（提供元）によるパッケージやビルドのことです。<br>Javaはオープンソース化されて以降、Oracle社以外にも多くの企業やコミュニティが、独自のビルドやサポート体制を持つJDKを提供しています。これらの提供元が異なるJDKのパッケージが「Javaディストリビューション」と呼ばれます。,Java(J2SE),,
APIエンドポイント（API Endpoint）,APIエンドポイント（API Endpoint）とは、API（Application Programming Interface）が提供する機能にアクセスするための通信の接点となる、特定の URL のことです。<br><br>簡単に言えば、「この情報が欲しい」 または 「この操作をしてほしい」 というリクエストを送信するサーバー上の住所のようなものです。,programing,,
チケット管理ツール,チケット管理ツールとは、企業やプロジェクト内で発生するあらゆる種類の「タスク」「問題」「要望」「問い合わせ」などを、一つ一つ「チケット」という単位で記録し、その発生から解決までの進捗を一元的に管理するためのシステムです。,"system,programing",,
BEAM,BEAM⇒生産フローの変更や作業指示の発行と基礎情報登録業務をIT化し、業務効率向上及び作業ミス防止を図るシステムのこと。また、BEAMは、生産制御システム(MESALFA)と連携した基礎情報特別作業指示を対象とした業務領域を改善するシステムのこと。,BEAM,,
基礎情報変更,基礎情報変更⇒生産フローの基礎情報を改訂管理する機能のこと。,BEAM,,
特別作業指示,特別作業指示⇒特定ロットの作業条件を一時的に変更する機能のこと。（行程作業のより細かい部分を変更する。）,BEAM,,
SQL,SQL（StructuredQueryLanguage：構造化照会言語）は、データベースを操作するための言語です。主に、リレーショナルデータベース（RDB）に対し、データの検索、追加、更新、削除を行ったり、テーブルなどデータベース構造を定義したりするために使われます。,DB,,
PQC,PQC⇒量子コンピュータに対しての安全性を保つ暗号方式のこと。（POSTQUALITY-^\,BEAM,,
ALFA,ALFA⇒過去のlotの処理履歴をfeed-backして最適条件値を演算し、後続lotの先行処理を廃止するすることを目的としたsystem,BEAM,,
ロット,ロット⇒ロットの意味は「製造販売の単位」です。主に製造業において使われている言葉です。連続した同一条件で製造した製品の一つのまとまり、ひと組を指す場合と、製品を受注または発注する際の最小のまとまり、単位を示す意味です。,半導体,,
ウェハ,ウェハ⇒半導体材料を薄く円盤状に加工してできた薄い板のことである。半導体基板の材料として用いられている。,半導体,,
セッション情報,webサイトを閲覧したときに、訪問者が訪れたサイトや入力したデータ、利用環境などの情報をwebブラウザに保存する仕組みのこと。,network,,
テンポラリ,テンポラリ（英：temporary）とは「一時的な」って意味です。,network,・テンポラリセッション,
トークン,システムの意味でのトークン (Token) は、文脈によって複数の意味を持ちますが、ITセキュリティやプログラミングにおいて最も一般的には、「何かを認証または承認するために使用される、意味を持つか、またはランダムに生成された短いデータ片」を指します。<br>これは、ユーザー名やパスワードといった本来の認証情報の**「代理」として機能する、使い捨ての鍵や証明書**のようなものです。,"証明書,system",,
text/css,text/css⇒「このファイルはCSSファイルですよ」を意図した表現,CSS,,
,CRYPTOGRAPHY）,,,
パラメータ,パラメーター⇒結果に影響を与える外から渡す値のこと。,BEAM,,
APC,APC(AdvancedProcessControl)は、プロセス制御の一種で、化学プラントや電力プラントなどのプロセス系と呼ばれるシステムを対象とした制御技術のことを指します,BEAM,,
トランザクション,トランザクションとは、ITの分野では、取引記録など一般的な意味の他に、ソフトウェアがデータを処理する際、互いに関連依存する複数の処理をまとめ、一体不可分の処理単位として扱うことを指す場合が多い。<br><br>トランザクションとは、「ここからここまでワンセット」な処理単位。分割できない一連の流れ。データベースの話でよく出てくる。,"処理,DB",,
横展開,横展開（水平展開）⇒今持っている知識や技術、ノウハウなどの資産を、今までとは違う場所で活用すること,IT全般,,
branch(ブランチ),ロット流動に於いて、mainprocessflowと別に条件振り等のためにsystemに登録された分岐flowのこと,開発,,
インデックス,インデックス⇒検索エンジンさんの中に記録されているホームページの情報のこと（SEO的な意味）。,フロントエンド,,
metaタグ,metaタグ⇒ホームページのファイルに書く、そのページに関する説明書き（を書くときに使う目印）,HTML,,
VB,VB⇒「VisualBasic」の省略表現。マイクロソフトさんが開発した、Windowsで動くプログラムを作るためのプログラミング言語,VBA,,
バッチ処理,バッチ処理⇒プログラム（データ）を処理目的ごとにまとめ、そのデータを順次処理していく一連の流れ、システムを指します。,network,,
パッチ,ソフトに変更を加えるために用意された、後付けのプログラムのこと。／■パッチ適用の一般的な手順①準備:対象ソフトウェアとパッチが合致しているか確認します。／システムファイルや設定データのバックアップを取得します。／パッチの対象となっている関連サービスやプロセスをすべて停止します。②実行:パッチファイルを指示された場所に配置します。／実行ファイル（.exeなど）の場合はダブルクリックで実行し、指示に従います。／スクリプト（.batなど）の場合は管理者権限で実行します。③確認：停止したサービスやソフトウェアを再起動します。／バージョン情報画面などで、パッチが正しく適用されているかを確認します。／パッチが修正した機能が正常に動作するかをテストします。,network,,
セキュリティパッチ,セキュリティパッチ（英：securitypatch）とは、ソフトやシステムのセキュリティ的な欠陥を直す目的で配られる、後付けのプログラムのことです。,network,自動で行われることもあるが、エラーなどでパッチが当たらないこともあるため、手動で行わなければならないこともある。,
SWD,総合的なデバックソリューションであり、CPUやEPGAのデバック用のインタフェースとして使われている。,network,,
ILMT,ILMT（IBMLicenseMetricTool）とは、コンピュータ内で使用されているIBM社製ソフトウェアが使用許諾条件（ライセンス）に合致しているか調べることができる調査ツール。<br>コンピュータ内で使用されているIBM社製ソフトウェアが使用許諾条件に合致しているか調べることができる調査ツール。<br>ILMT(IBMLicenseMetricTool)はIBMライセンス・メトリック・ツール(IBMLicenseMetricTool)の略称です。IBMのソフトウェア製品のライセンス使用状況を管理し、コンプライアンスを維持するためのツールとなっています。,"IBM,ライセンス調査ツール",,
ILMT,ILMT（IBMLicenseMetricTool）とは、コンピュータ内で使用されているIBM社製ソフトウェアが使用許諾条件（ライセンス）に合致しているか調べることができる調査ツール。<br>コンピュータ内で使用されているIBM社製ソフトウェアが使用許諾条件に合致しているか調べることができる調査ツール。<br>ILMT(IBMLicenseMetricTool)はIBMライセンス・メトリック・ツール(IBMLicenseMetricTool)の略称です。IBMのソフトウェア製品のライセンス使用状況を管理し、コンプライアンスを維持するためのツールとなっています。,"IBM,ライセンス調査ツール",,
Zabbix,Zabbix⇒ラトビアのZabbix社が開発し、オープンソフトウェアとして公開されている、サーバやネットワークの状態を一元的に監視するシステム監視ソフトの一つ。,ツール,,
SiView,複数ロットを搭載したウエーハキャリアを扱えるLSIラインの工程管理システム。,BEAM,,
デルタ,２つの値または状態の差分を表す用語。デルタは、省略形の文字Δを使用して差分を表します。,その他,,
リグレッションテスト,⇒変更していないところがおかしくなっていないか確認するテスト。,BEAM,,
マージ,マージ⇒何かと何かを「結合する」とか「統合する」とか「合体する」とか、そんな感じの意味,BEAM,,
hostsファイル,,network,,
hostsファイル,hostsファイルは、ドメイン名とIPアドレスの対応関係をローカルで定義するファイルです。通常、インターネット上の名前解決はDNSサーバを通じて行われますが、hostsファイルに記載がある場合は、DNSよりも優先してその情報が使われます。<br>なんちゃってDNSサーバなファイル。「ホスト名として〇〇が指定さてたらIPアドレス××のことだよ」のように、ホスト名とIPアドレスの対応付けを書いておくファイルのこと。<br><br>💻 hostsファイルの保存場所<br>Windowsの場合、ご質問の通り以下のパスにあります。<br>Windows: C:\Windows\System32\drivers\etc\hosts<br>MacやLinuxなど、他の主要なOSでの保存場所は以下の通りです。<br>macOS/Linux:/etc/hosts（/private/etc/hostsへのシンボリックリンクである場合が多いです）<br><br>🎯 hostsファイルの内容を変更することでできること<br>hostsファイルは、特定のドメイン名（ホスト名）とそれに対応するIPアドレスを結びつけるためのファイルです。<br>このファイルは、インターネット上の名前解決システムであるDNS（Domain Name System）よりも優先して参照されるという重要な特徴を持っています。<br>内容を変更することで、主に以下のことができます。<br>開発・テスト環境での動作確認: サーバーを移行する際や、新しいWebサイトを公開する前に、実際のDNS設定を変更することなく、特定のドメイン名で新しい（移行先や開発中の）サーバーのIPアドレスにアクセスして動作を確認できます。<br>例: 自分のPCでのみ、example.comというドメインをテストサーバーのIPアドレスに強制的に振り分ける。<br>特定のWebサイトへのアクセスブロック: 悪質なサイトや広告サーバーのドメイン名を、**ローカルホスト（自分のPC自身、IPアドレスは通常127.0.0.1）**に割り当てることで、そのサイトへのアクセスをブロックできます。<br><br>📝 hostsファイルの書き方<br>基本的な書式はシンプルで、「IPアドレス」と「ホスト名（ドメイン名）」を半角スペースまたはタブで区切って1行に記述します。<br>書式<br>Plaintext<br>[IPアドレス] [半角スペースまたはタブ] [ホスト名（ドメイン名）]<br>記述例<br>例えば、example.comというドメインを192.168.1.100というIPアドレスを持つサーバーに見せたい場合は、hostsファイルの末尾に以下のように追記します。<br>Plaintext<br># 例: example.comを192.168.1.100に割り当てる<br>192.168.1.100 example.com<br>192.168.1.100 www.example.com<br>コメント: #（シャープ）で始まる行はコメントとして扱われ、設定には反映されません。<br>注意点: hostsファイルを編集・保存するには、通常管理者権限が必要です。また、編集後はすぐに設定が反映されない場合があるため、ブラウザのキャッシュをクリアしたり、ネットワーク設定を再起動したりする必要がある場合があります。<br>編集作業が完了したら、忘れずに元の状態に戻すようにしましょう。そうしないと、意図しないサーバーにアクセスし続けることになります。,network,,
Wafer,WaferEnd⇒後工程？,半導体,,
コミット⇒,「約束する」とか「合意する」とかそういうニュアンスの用語。,BEAM,,
ナレッジ化,個人や組織が持つ知識や経験を体系的に整理し、共有活可能な形式に変換するプロセスのこと。,,,
IBM株式会社,情報システムに関わる製品サービスの提供,,,
GID,UNIX系のOS(コンピュータの人格に相当Sるうソフト)(LINUXとか)で使用される、グループ識別用の番号のこと。,,,
grep⇒,grep⇒テキストファイルから文字列を検索するプログラムのこと。,,,
VisualStudio,マイクロソフトが作った、C#やVisualBasic等のプログラミングを使ってプログラムを作るための機能や部品がいろいろ詰まったソフト,IDE,,
タスクマネジ,タスクマネジャー⇒プロセスの管理やパフォーマンスの監視、ウィンドウズ起動時に自動で軌道するソフトウェアの管理ができる。,,,
coreファイル⇒,ファイル名がcore。プログラムが異常終了したときに出力される。メモリの状態とかが書き込まれている。UNIX系のパソコンで登場する。,,,
ddlファイル,ddlファイル⇒データベースのデータ構造を定義するために使用されるファイル,DB,,
VBA関数,VBAを最初から使える関数で、処理を簡単に作るための便利機能。,,,
採番,データやドキュメントに一意の識別番号を付与するプロセス,,,
REF,REF⇒参照を意味する（referenceレファレンス）の略であり、Excelで、#REF！エラーが出る原因は「数式で参照しているセルが正しくない」からです。,,,
wi,windwosserver⇒コンピュータの人格に相当するソフト（os）の一つであり、マイクロソフトさんが作っているサーバ用のOSの名前のシリーズ名部分。,,,
ロジック（logic）,ロジック⇒プログラムにおける処理の内容、手順、方法のこと。,,,
SQLServer,windowsのシステムでよく使われる、マイクロソフトさんが作ったデータベース。,DB,,
view(ビュー),ビュー⇒データベースのビューとは、一つ以上の表（テーブル）から必要な要素だけを取り出して作った仮想的な表のこと。,DB,,
マージ,分離したブランチを再び元のブランチに統合することができるシステムもあり、この操作をマージ(merge）という。,,,
デバッグ,「あれ？なんか、おかしいんだけど？」な状況（不具合）の原因を探して直すこと※デバック⇒×、デバッグ⇒〇,,,
コミット,「やった処理の結果を確定させること、あるいは約束すること」,,,
モジュール,「そいつ単独でも機能としては成立するけど、普通は他のものと組み合わせて使うよ！」な部品のこと,development,,
デプロイ,作ったプログラムをしかるべき場所に置いたり、あれやこれやの設定をしたりして、使える状態にすること,,,
,レチクル⇒半導体製造において重要な役割を果たすもの。フォトマスクと似ていますが、使用されるスケールが異なる。レチクルはフォトマスクのパターンを縮小してウエハー上に正確に投影するために仕様されるツールです。,,,
,マトリックス⇒行と列で表現された表のこと。,,,
,マスタデータ⇒システムを動かす前から入れておく必要のあるデータ,,,
,トランザクションデータ⇒システムを動かすことによって蓄積されていくデータ。,,,
マスターテーブル,何かの基礎となるデータが入っているテーブルであり、システムを使う最初の段階からないと困るデータが入っているテーブル。,DB,,
,フレキシブル⇒「柔軟な」とか「融通を聞かせて」的な意味,,,
,レシピ⇒ウエーハプロセス処理の制御を行うために、各プロセス装置へのプロセスシーケンス及び制御パラメータ（温度、圧力、ガスの種類及びガス流量、時間などの制御目標値）に関する装置個別の処理プログラム。,,,
受け入れテスト（UAT）,お客様でやる「これは、ちゃんと完成しているかな？代金を支払ってもいいと思えるできかな？」を確認するテストのこと。要は、お客様による完成度チェック。※「UserAcceptanceTest」の略だよ,,,
総合テスト(ST),システムテスト（ST：SystemTesting）は、「総合テスト」とも呼ばれており、要件定義で作成した要件の内容に沿っているかを確認するテストのことです。システムテストは結合テストの後工程で行われます。すべての機能が揃った状態で以下の目的で評価します。①ハードウェアや通信回線なども含め、ソフトウェアのシステム要件に準拠しているか②機能間の連携は取れているか③運用や保守が実現可能であるかなど,関係システム全体を通してテストを行い、運用が成り立つかを確認する。実務環境での総合的な観点でテストする。,,
ホスト名,ネットワーク上でコンピュータを識別するためにつける、コンピュータの名前のこと。,,,
WAS(ワズ),WAS(webaplicationserver)→データベースはこっちのコンピュータ、プログラムはあっちのコンピュータ、のように、複数のコンピュータで役割分担する構成になっているシステムにおいて、プログラムが置いてあるコンピュータ。／WASを一言で言うとデータベース接続やスレッド処理、ワークロード管理に強みがあるJavaベースの商用アプリケーションサーバであり、同ミドルウェアはIBMより提供されている。,IBM,,
ASML,オランダの半導体装置メーカー。,,,
輪番制,複数の人が順番に担当になる制度のことで、公平性や予定がたてやすいなどのメリットがある。,business,,
ワークスペース,業務で利用するツールやアプリケーションに、いつでもどこでもアクセスできる統合基盤,開発,,
Shift-JIS（シフトJIS）,「文字符号化方式」と呼ばれるもののひとつ。文字コード（文字に割り当てられた数字）の話で出てくる用語の一つであり、コンピュータさんが使う「文字に割り当てた番号」と「実際にコンピュータさんが扱う数字の対応表」の一つ。要は、「文字に割り当てた番号」と「実際にコンピュータさんが扱う数字」の対応表のこと。,HTML,,
UTF-8,※UTF-8も同じく対応表のこと。,HTML,,
張りぼて,実在しないものや本物とは異なるものを装っているものを指す日本語特融の言葉。見た目や形だけ整えて実物そっくりに見せかけること。,,,
コメントアウト,書いてあるコードをコメントにすること（で処理としては削除すること）。,開発,,
テンポラリ,一時的に用意された何かのこと。,IT全般,,
スクリプト,人間後で書いたプログラムの元ネタ（ソースコード）をコンピュータがわかる形に変換する作業（コンパイル）を人間様が意識しないで済むプログラム。要は、書いて、すぐ実行できるプログラムのこと。,開発,,
,コンフィグファイル⇒設定ファイルのこと。プログラムとかで使う「変更するかもしれない値（設定地）が書いてあるファイルのこと。」【拡張子:「.conf」】,,,
パッチ,ソフトに変更を加えるために用意された、後付けのプログラム。,プログラム,,
バッチ,「バッチ処理」「バッチファイル」の省略表現。「どこかのタイミングでまとめてやりましょう！な処理のこと.。windowsで使える、ファイルの種類を表す目印（拡張子）が「.bat」なファイル。コマンドプロンプトで実行できるコマンドをまとめて書いたファイルのこと。どこかのタイミングでまとめてやる処理（バッチ処理）が中に書かれているファイルのこと。,プログラムまとめファイル,,
,tsmファイル⇒Windowsを実行しているデバイスで使用可能なソフトウェアアプリケーションによってサポートされている。,,,
tsmサーバー,TSMサーバーとは、一般的に「TivoliStorageManager（ティボリ・ストレージ・マネージャー）」サーバーの略です。<br>■詳しい説明→①IBMが提供する**バックアップおよびリカバリー用のサーバーソフトウェア**です。②サーバーやPCのデータを自動的にバックアップし、障害時にはデータを復元できます。③企業の大規模なデータ管理や災害対策（DR：ディザスタリカバリ）でよく使われます。■主な用途①サーバーやクライアントPCのデータバックアップ②データの世代管理やスケジュールバックアップ③データのリストア（復元）■まとめ：TSMサーバーは、企業向けのデータバックアップ・リカバリーを行うためのIBM製サーバーソフトウェアです。,network,,
,パラメータ⇒外から入ってくる値。難しく言うと、処理結果に影響を与える外部から投入される変動要素のこと。,,,
レイヤ,お絵描きツール用語で、「恵右描くスペース（透明な画用紙）」のこと。本来の実は、階層構造になっている何かの各々の層のこと。,,,
,DDFファイル⇒通常、ダイアモンドディレクティブファイルとみなされるファイルで、設定ファイルとして一般的に使用されるファイル。テキストエディターを使用して編集及び変更ができる。,,,
,DDL（データ定義言語）⇒データベースに対する命令の分類の一つであり、データを入れておく箱に対して、あれやこれやするときに使う命令のこと。,,,
,PQC(ProcessQualityControl)⇒process中の検査工程のこと。process種/作業ごとに、線幅、膜厚、残膜などをspecを設けて管理している。,,,
,※口語的に言うと⇒ウェーハ加工の過程で行われる様々な測定検査のこと。品質や加工に異常がないことを保証するためのもので、加工処理ごとに配線の太さや成膜量などの規格値を設けて管理している。規格を外れたものは状況により「再生」やそのまま流動やどうしようもない場合にはスクラップ（廃棄）処理をする。原因がわからない場合はオフライン解析などで原因特定を行う。,,,
,レシピ⇒工程、作業を合わせてレシピという。,,,
,SPEC⇒入力下限値、SPEC下限値、管理下限値、目標値、管理上限値、SPEC上限値、入力上限値をまとめてSPECと呼ぶ。,,,
APC,APC(AmericanPowerConversation)は、サーバールームやデータセンターの物理インフラストラクチャソリューションを提供しているブランドです。※特徴①高可用性、低トータルコストの完全な物理インフラストラクチャソリューション※特徴②サーバールーム全体の環境情報やデータを統合できるため、データに基づいた効率的な運用や一拠点での一元管理を実現できる。APCのソリューションは、信頼性、統合性、管理性を重視しており、サーバールームの運用をサポートしています。※url⇒https://www.apc.com/jp/ja/solutions/business-solutions/server-rooms.jsp,,,
WBS,プロジェクトを必要な成果物ごとに階層的に分解して構造化する手法。WBSとは、プロジェクトを必要な成果物ごとに階層的に分解して構造化する手法です。WBSは、プロジェクト推進や管理の基本であり、スケジュール作成や管理の基本であり、スケジュール作成や進捗管理、見積もりなどに利用されます。WBSは、WorkBreakdownStructureの略語で、日本語では作業分解構成図や作業分解図とも呼ばれる。,,,
SiView,IBMが持つ、MES(ManufacturingExecutionSystem)の領域の製品になります。半導体を作る、主に前工程のシステムで、工程管理、生産管理、スケジュール管理などで使用される。,,,
MES(ManufacturingExecutionSystem)(製造実行システム),工場の生産ラインの各部分とリンクすることで、工場の機械や労働者の作業を管理監視するシステム。,,,
インポート,ソフトとかの中にデータを取り込むこと。エクスポートの逆のこと。,,,
リファレンス（reference）,何かの値を参照しているもののこと。,,,
REF,リファレンスを略すと気に使う。※REF値ともいう。,,,
SVN,「ApacheSubversion」のこと。バージョン管理システムの一つであり、ファイルの変更履歴を管理してくれるシステムのひとつです。,,,
リポジトリ,「レポジトリ」ともいう。ファイルなり、プログラムなり、設定情報なり、何らかの「保管場所」をかっこつけていった表現のこと。,,,
Tivoli（チボリ）,米IBM社のソフトウェア製品のブランド名の一つで、主に企業などの情報システムの運用管理を行うためのツールなどが含まれる。,IBM,,
REORG（りオルグ）,REORG（りオルグ）⇒表は更新、追加、削除等で崩れ、デフラグメンテーションが発生します。ページの中に空き容量がないようにレコードを詰め直すユーティリティです。崩れてずれた箇所をきれいに整えたいのです。※DB2で実行するもの。,DB,,
デフラグメンテーション（英defragmentation）,「フラグメンテーション」の逆であり、本来は一塊のデータがバラバラになった状態で記憶されている状態から、できるだけまとまった状態に整理することです。,DB,,
,ベタ打ち⇒指定された文書を基に、見出しやフォントなどを変更せずにそのままテキストを入力する作業のこと。,,,
初期流動確認,量産前に工程を作り込む段階で、工程能力の確認、１日の生産数の確認、不良率のデータ取り等を行う。初期流動管理は、予防保全活動の一種であり、初期の段階で洗剤不良の要因をつぶしてしまうための活動で、期間は最低３か月である。<br>量産を開始後の初期段階初期流動期間とは、量産を開始後の初期段階のことで、不具合が発生しやすく、工程が安定しない時期になる。初期流動とは、新製品・サービスの量産初期、あるいは大幅な設計変更または、製造工程の変更後の本格生産のように、新たな製品・サービスの製造を開始することをいい、初期流動管理は、試作から量産移行する際に、初期品質不具合を検出できるように高い検出感度で取り組む特別管理のことである。,BEAM,,
トレースファイル,アプリケーションコマンドの実行を１ステップずつ追跡し、エラー発生時にアプリケーションがどの操作フェーズにあったかを検出するのに役立つファイル。SQLServerProfileでは、トレースで収集されるイベントクラスやデータ列を定義するファイルとしても使用される。,,,
ALFA,AlgorithmofstatisticalFine-processAnalysisの略語。過去のlotの処理履歴をfeed-backして最適条件値を演算し、後続lotの先行処理を廃止することを目的としたsystem。最近では、lotの処理履歴をfeed-forwardして、同じlotの後工程を最適条件値に変更して、出来上がりのばらつきを抑えることも行われている。,,,
区分マスタ,複数のデータを登録することで複数の意味を持たせることができるマスタデータの一種。区分マスタとは、複数のデータを登録することで複数の意味をもたせることができるマスタデータの一種。例えば、商品データ中の購入区分の場合、「00が未購入、01が購入済、02が予約済」などと登録します。,,,
ITIL,「InformationTechnologyInfrastructureLibrary」の略。参考書みたいなもので、ITサービスをマネジメントする上で役立つ知識がまとめられている。あるいは、ITサービスマネジメントに関する資格試験のこと。,,,
排他制御,ダブルブッキングしないように制御すること。同時に使われるとおかしくなるものに組み込む。要は、「誰かが使っているときは他の人は使っちゃだめだよ」を実現する仕組みのこと。,,,
当該,その事柄に関すること。,一般用語,,
,該当⇒適当する。ピッタリ当てはまるというニュアンス。,一般用語,,
統合テスト/結合テスト/連結テスト,ソフトウェア開発におけるテストで、複数のプログラム部品（モジュール）を組み合わせて行うテスト。個々のモジュールの単体テスト後に行う。,,,
,GIFファイル⇒GIF形式で圧縮された画像ファイルでありファイルの種類を表す目印（拡張子）が「.gif」なファイル。文字とか絵を保存するのに向いている,,,
,UNIX(ユニックス)⇒コンピュータの人格に相当するソフト（OS）のひとつであり、昔流行ったOS,,,
,Linux（リナックス）⇒①フリーソフトである。②UNIXと互換性がある。③性能の低いコンピュータでも結構動く。コンピュータの人格に相当するソフト(OS)の一つであり、フリーソフトとして公開されているUNIXっぽいOS。もしくは、カーネル（OSの中核として頑張っているソフトウェア）の名前。※カーネルは中心人物だかほかのいろんなソフトも含めてOSとして働く。,,,
